imageNr,imageAngle,thetaHough,confidenceHough,thetaFourier,confidenceFourier,thetaProj,confidenceProj,
3,1.400000,0.999996,0.997746,2.000000,0.996599,1.000000,0.973875,
3,1.300000,0.999996,0.999205,0.999992,0.995364,1.000000,0.976829,
3,1.200000,0.999996,1.000000,0.000000,0.997702,1.000000,0.984266,
3,1.100000,0.999996,1.000000,0.999992,0.995972,1.000000,0.982788,
3,1.000000,0.999996,1.000000,0.999992,0.995016,1.000000,0.985636,
3,0.900000,-1.000000,1.000000,-1.000000,0.997163,-1.000000,0.986255,
3,0.800000,-1.000000,1.000000,-2.000000,0.995844,-1.000000,0.980748,
3,0.700000,-1.000000,0.998887,-2.000000,0.993819,-1.000000,0.979528,
3,0.600000,-1.000000,0.997534,0.000000,0.998291,0.000000,0.975908,
3,0.500000,0.000003,0.993467,0.000000,0.997750,0.000000,0.979338,
3,0.400000,0.000003,0.997811,0.999992,0.997428,0.000000,0.978981,
3,0.300000,0.000003,0.999340,0.000000,0.998977,0.000000,0.987506,
3,0.200000,0.000003,1.000000,0.000000,0.998747,0.000000,0.987905,
3,0.100000,0.000003,1.000000,0.000000,0.998688,0.000000,0.989467,
3,0.000000,0.000003,1.000000,0.000000,0.998240,0.000000,0.985122,
3,-0.100000,0.000003,1.000000,0.000000,0.998688,0.000000,0.989467,
3,-0.200000,0.000003,1.000000,0.000000,0.998747,0.000000,0.987905,
3,-0.300000,0.000003,0.999340,0.000000,0.998977,0.000000,0.987506,
3,-0.400000,0.000003,0.997811,0.999992,0.997428,0.000000,0.978981,
3,-0.500000,0.000003,0.993467,0.000000,0.997750,0.000000,0.979338,
3,-0.600000,-1.000000,0.997534,0.000000,0.998291,0.000000,0.975908,
3,-0.700000,-1.000000,0.998887,-2.000000,0.993819,-1.000000,0.979528,
3,-0.800000,-1.000000,1.000000,-2.000000,0.995844,-1.000000,0.980748,
3,-0.900000,-1.000000,1.000000,-1.000000,0.997163,-1.000000,0.986255,
3,-1.000000,-1.000000,1.000000,-1.000000,0.998117,-1.000000,0.984055,
3,-1.100000,-1.000000,1.000000,-1.000000,0.998060,-1.000000,0.982771,
3,-1.200000,-1.000000,1.000000,0.000000,0.998185,-1.000000,0.978228,
3,-1.300000,-1.000000,0.999066,0.000000,0.998141,-1.000000,0.975810,
3,-1.400000,-1.000000,0.997822,-2.000000,0.996427,-1.000000,0.969971,
3,-1.500000,-1.000000,0.996160,-2.000000,0.996375,-2.000000,0.967231,
3,-1.600000,-2.000003,0.997720,-2.000000,0.996434,-2.000000,0.974347,
3,-1.700000,-2.000003,0.998983,-2.000000,0.997068,-2.000000,0.976877,
3,-1.800000,-2.000003,1.000000,-2.000000,0.995901,-2.000000,0.978492,
3,-1.900000,-2.000003,1.000000,-2.000000,0.995185,-2.000000,0.980722,
3,-2.000000,-2.000003,1.000000,-2.000000,0.994036,-2.000000,0.985693,
3,-2.100000,-2.000003,1.000000,-2.000000,0.991034,-2.000000,0.981481,
3,-2.200000,-2.000003,1.000000,-2.000000,0.982915,-2.000000,0.975917,
3,-2.300000,-2.000003,0.998755,-2.000000,0.981925,-2.000000,0.976347,
3,-2.400000,-2.000003,0.998106,-2.000000,0.982127,-2.000000,0.971281,
3,-2.500000,-2.000003,0.996070,-1.000000,0.992508,-3.000000,0.968126,
3,-2.600000,-3.000006,0.997874,-3.000008,0.995596,-3.000000,0.972304,
