index,angle,houghAngle,projectionAngle,freqHoughAngle
6,-1.75,-2.00,-2.00,-2.00
6,-1.50,-2.00,-1.00,-1.00
6,-1.25,-1.00,-1.00,-1.00
6,-1.00,-1.00,-1.00,-1.00
6,-0.75,-1.00,-1.00,-1.00
6,-0.50,-1.00,-1.00,0.00
6,-0.25,0.00,-0.00,0.00
6,0.00,0.00,-0.00,0.00
6,0.25,0.00,-0.00,0.00
6,0.50,0.00,1.00,1.00
6,0.75,1.00,1.00,1.00
6,1.00,1.00,1.00,1.00
6,1.25,1.00,1.00,1.00
6,1.50,1.00,2.00,2.00
6,1.75,2.00,2.00,2.00
6,2.00,2.00,2.00,2.00
6,2.25,2.00,2.00,2.00
6,2.50,2.00,3.00,3.00
6,2.75,3.00,3.00,3.00
6,3.00,3.00,3.00,3.00
6,3.25,3.00,3.00,3.00
6,3.50,3.00,4.00,4.00
6,3.75,4.00,4.00,4.00
6,4.00,4.00,4.00,4.00
6,4.25,4.00,4.00,4.00
6,4.50,4.00,5.00,5.00
6,4.75,5.00,5.00,5.00
6,5.00,5.00,5.00,5.00
6,5.25,5.00,5.00,5.00
6,5.50,5.00,6.00,5.00
6,5.75,6.00,6.00,6.00
6,6.00,6.00,6.00,6.00
6,6.25,6.00,6.00,6.00
6,6.50,6.00,7.00,7.00
6,6.75,7.00,7.00,7.00
6,7.00,7.00,7.00,7.00
6,7.25,7.00,7.00,7.00
6,7.50,7.00,8.00,7.00
6,7.75,8.00,8.00,8.00
6,8.00,8.00,8.00,8.00
6,8.25,8.00,8.00,8.00
6,8.50,8.00,9.00,8.00
6,8.75,9.00,9.00,9.00
6,9.00,9.00,9.00,9.00
6,9.25,9.00,9.00,9.00
6,9.50,9.00,10.00,10.00
6,9.75,10.00,10.00,10.00
6,10.00,10.00,10.00,10.00
7,-10.00,-10.00,-10.00,-10.00
7,-9.75,-9.00,-10.00,-10.00
7,-9.50,-9.00,-9.00,-9.00
7,-9.25,-10.00,-9.00,-9.00
7,-9.00,-9.00,-9.00,-9.00
7,-8.75,-8.00,-9.00,-9.00
7,-8.50,-8.00,-8.00,-8.00
7,-8.25,-8.00,-8.00,-8.00
7,-8.00,-8.00,-8.00,-8.00
7,-7.75,-8.00,-8.00,-8.00
7,-7.50,-8.00,-7.00,-7.00
7,-7.25,-7.00,-7.00,-7.00
7,-7.00,-7.00,-7.00,-7.00
7,-6.75,-7.00,-7.00,-7.00
7,-6.50,-7.00,-6.00,-6.00
7,-6.25,-7.00,-6.00,-6.00
7,-6.00,-6.00,-6.00,-6.00
7,-5.75,-6.00,-6.00,-6.00
7,-5.50,-5.00,-5.00,-6.00
7,-5.25,-6.00,-5.00,-5.00
7,-5.00,-5.00,-5.00,-5.00
7,-4.75,-4.00,-5.00,-5.00
7,-4.50,-5.00,-4.00,-4.00
7,-4.25,-4.00,-4.00,-4.00
7,-4.00,-4.00,-4.00,-4.00
7,-3.75,-3.00,-4.00,-4.00
7,-3.50,-3.00,-3.00,-3.00
7,-3.25,-3.00,-3.00,-3.00
7,-3.00,-3.00,-3.00,-3.00
7,-2.75,-3.00,-3.00,-3.00
7,-2.50,-2.00,-2.00,-2.00
7,-2.25,-2.00,-2.00,-2.00
7,-2.00,-2.00,-2.00,-2.00
7,-1.75,-1.00,-2.00,-2.00
7,-1.50,-1.00,-1.00,-1.00
7,-1.25,-1.00,-1.00,-1.00
7,-1.00,-1.00,-1.00,-1.00
7,-0.75,0.00,-0.00,-1.00
7,-0.50,0.00,-1.00,0.00
7,-0.25,0.00,-0.00,0.00
7,0.00,0.00,1.00,0.00
7,0.25,0.00,-0.00,0.00
7,0.50,1.00,1.00,0.00
7,0.75,0.00,1.00,1.00
7,1.00,1.00,1.00,1.00
7,1.25,2.00,1.00,1.00
7,1.50,2.00,2.00,1.00
7,1.75,1.00,2.00,2.00
7,2.00,2.00,2.00,2.00
7,2.25,3.00,2.00,2.00
7,2.50,2.00,3.00,2.00
7,2.75,2.00,3.00,3.00
7,3.00,3.00,3.00,3.00
7,3.25,3.00,3.00,3.00
7,3.50,3.00,4.00,3.00
7,3.75,4.00,4.00,4.00
7,4.00,4.00,4.00,4.00
7,4.25,5.00,4.00,4.00
7,4.50,4.00,5.00,4.00
7,4.75,5.00,5.00,5.00
7,5.00,5.00,5.00,5.00
7,5.25,6.00,5.00,5.00
7,5.50,6.00,6.00,6.00
7,5.75,6.00,6.00,6.00
7,6.00,6.00,6.00,6.00
7,6.25,6.00,6.00,6.00
7,6.50,6.00,7.00,6.00
7,6.75,6.00,7.00,7.00
7,7.00,7.00,7.00,7.00
7,7.25,8.00,7.00,7.00
7,7.50,7.00,8.00,7.00
7,7.75,8.00,8.00,8.00
7,8.00,8.00,8.00,8.00
7,8.25,8.00,8.00,8.00
7,8.50,9.00,9.00,8.00
7,8.75,8.00,9.00,9.00
7,9.00,9.00,9.00,9.00
7,9.25,10.00,9.00,9.00
7,9.50,9.00,10.00,9.00
7,9.75,9.00,10.00,10.00
7,10.00,10.00,10.00,10.00
8,-10.00,-10.00,-10.00,-10.00
8,-9.75,-10.00,-10.00,-10.00
8,-9.50,-9.00,-9.00,-10.00
8,-9.25,-9.00,-9.00,-9.00
8,-9.00,-9.00,-9.00,-9.00
8,-8.75,-9.00,-9.00,-9.00
8,-8.50,-9.00,-8.00,-8.00
8,-8.25,-8.00,-8.00,-8.00
8,-8.00,-8.00,-8.00,-8.00
8,-7.75,-8.00,-8.00,-8.00
8,-7.50,-7.00,-7.00,-7.00
8,-7.25,-7.00,-7.00,-7.00
8,-7.00,-7.00,-7.00,-7.00
8,-6.75,-7.00,-7.00,-7.00
8,-6.50,-6.00,-6.00,-6.00
8,-6.25,-6.00,-6.00,-6.00
8,-6.00,-6.00,-6.00,-6.00
8,-5.75,-6.00,-6.00,-6.00
8,-5.50,-5.00,-5.00,-5.00
8,-5.25,-5.00,-5.00,-5.00
8,-5.00,-5.00,-5.00,-5.00
8,-4.75,-5.00,-5.00,-5.00
8,-4.50,-4.00,-4.00,-4.00
8,-4.25,-4.00,-4.00,-4.00
8,-4.00,-4.00,-4.00,-4.00
8,-3.75,-4.00,-4.00,-4.00
8,-3.50,-3.00,-3.00,-4.00
8,-3.25,-3.00,-3.00,-3.00
8,-3.00,-3.00,-3.00,-3.00
8,-2.75,-3.00,-3.00,-3.00
8,-2.50,-2.00,-2.00,-2.00
8,-2.25,-2.00,-2.00,-2.00
8,-2.00,-2.00,-2.00,-2.00
8,-1.75,-2.00,-2.00,-2.00
8,-1.50,-1.00,-1.00,-1.00
8,-1.25,-1.00,-1.00,-1.00
8,-1.00,-1.00,-1.00,-1.00
8,-0.75,-1.00,-1.00,-1.00
8,-0.50,0.00,-1.00,0.00
8,-0.25,0.00,-0.00,0.00
8,0.00,0.00,1.00,0.00
8,0.25,0.00,-0.00,0.00
8,0.50,1.00,1.00,1.00
8,0.75,1.00,1.00,1.00
8,1.00,1.00,1.00,1.00
8,1.25,1.00,1.00,1.00
8,1.50,1.00,2.00,1.00
8,1.75,2.00,2.00,2.00
8,2.00,2.00,2.00,2.00
8,2.25,2.00,2.00,2.00
8,2.50,2.00,2.00,2.00
8,2.75,3.00,3.00,3.00
8,3.00,3.00,3.00,3.00
8,3.25,3.00,3.00,3.00
8,3.50,3.00,4.00,3.00
8,3.75,4.00,4.00,4.00
8,4.00,4.00,4.00,4.00
8,4.25,4.00,4.00,4.00
8,4.50,5.00,5.00,4.00
8,4.75,5.00,5.00,5.00
8,5.00,5.00,5.00,5.00
8,5.25,5.00,5.00,5.00
8,5.50,6.00,6.00,5.00
8,5.75,6.00,6.00,6.00
8,6.00,6.00,6.00,6.00
8,6.25,6.00,6.00,6.00
8,6.50,7.00,7.00,6.00
8,6.75,7.00,7.00,7.00
8,7.00,7.00,7.00,7.00
8,7.25,7.00,7.00,7.00
8,7.50,7.00,8.00,7.00
8,7.75,8.00,8.00,8.00
8,8.00,8.00,8.00,8.00
8,8.25,8.00,8.00,8.00
8,8.50,9.00,9.00,8.00
8,8.75,9.00,9.00,9.00
8,9.00,9.00,9.00,9.00
8,9.25,9.00,9.00,9.00
8,9.50,9.00,10.00,10.00
8,9.75,10.00,10.00,10.00
8,10.00,10.00,10.00,10.00
9,-10.00,-10.00,-10.00,-10.00
9,-9.75,-10.00,-10.00,-10.00
9,-9.50,-9.00,-10.00,-9.00
9,-9.25,-9.00,-9.00,-9.00
9,-9.00,-9.00,-9.00,-9.00
9,-8.75,-9.00,-9.00,-9.00
9,-8.50,-8.00,-8.00,-8.00
9,-8.25,-8.00,-8.00,-8.00
9,-8.00,-8.00,-8.00,-8.00
9,-7.75,-8.00,-8.00,-8.00
9,-7.50,-7.00,-7.00,-7.00
9,-7.25,-7.00,-7.00,-7.00
9,-7.00,-7.00,-7.00,-7.00
9,-6.75,-7.00,-7.00,-7.00
9,-6.50,-6.00,-7.00,-6.00
9,-6.25,-6.00,-6.00,-6.00
9,-6.00,-6.00,-6.00,-6.00
9,-5.75,-6.00,-6.00,-6.00
9,-5.50,-5.00,-6.00,-5.00
9,-5.25,-5.00,-5.00,-5.00
9,-5.00,-5.00,-5.00,-5.00
9,-4.75,-5.00,-5.00,-5.00
9,-4.50,-4.00,-4.00,-4.00
9,-4.25,-4.00,-4.00,-4.00
9,-4.00,-4.00,-4.00,-4.00
9,-3.75,-4.00,-4.00,-4.00
9,-3.50,-4.00,-3.00,-3.00
9,-3.25,-3.00,-3.00,-3.00
9,-3.00,-3.00,-3.00,-3.00
9,-2.75,-3.00,-3.00,-3.00
9,-2.50,-3.00,-2.00,-2.00
9,-2.25,-2.00,-2.00,-2.00
9,-2.00,-2.00,-2.00,-2.00
9,-1.75,-2.00,-2.00,-2.00
9,-1.50,-1.00,-1.00,-1.00
9,-1.25,-1.00,-1.00,-1.00
9,-1.00,-1.00,-1.00,-1.00
9,-0.75,-1.00,-1.00,-1.00
9,-0.50,0.00,-1.00,0.00
9,-0.25,0.00,-1.00,0.00
9,0.00,0.00,-0.00,0.00
9,0.25,0.00,1.00,0.00
9,0.50,0.00,1.00,1.00
